ZCTA5,Nearest_Hospital_Distance
78944,27686.73780925894
78946,37803.30675356044
78948,44296.887782961276
78950,27555.600736414075
79096,61025.71631137952
79406,2151.6165000253645
78951,13080.914888322297
78954,26963.1549472089
78957,0.0
78962,0.0
79001,62192.785212431576
79005,69152.80282726497
79009,44555.64313941705
79011,38837.89756373541
79013,106343.88686100188
79014,0.0
79098,32366.900986457098
79101,6191.697430690805
79102,5415.90773295787
79103,11751.935884100196
79104,11856.495734657714
79109,5115.432514559787
79111,23015.890559791977
79118,22482.554264873324
79121,5471.936940450192
79201,0.0
79225,24230.631622610854
79227,61254.246638340315
79230,46771.624761885134
79231,82523.98595892204
79234,77571.44721559604
79236,50346.39621923993
79239,60446.61395419374
79240,81173.36588261655
79244,83301.65313061867
79245,60777.34166801532
79247,23733.60619627004
79251,68850.55660688723
79255,79291.47276147026
79257,63645.208277833764
79258,50680.17313466811
79261,59046.78093912638
79312,21934.28548790148
79314,68157.75308800665
79322,76087.59180924014
79323,67224.70439845245
79325,39900.026707619916
79329,25069.22719638589
79331,0.0
79339,0.0
79342,31437.51303278379
79344,57551.65687930536
79346,47345.23457538859
79350,9388.155981890763
79353,31070.662179612234
79355,62596.505144138435
79357,51523.62193175767
79359,38461.440943474874
79363,15247.146973449122
79366,19447.114841485705
79369,22953.515192501593
79370,106343.80662525122
79372,24758.43645711224
79376,41485.919383639135
79377,34387.43824180278
79379,29934.788844664767
79381,31414.12359685714
79401,5061.751126266294
79404,7307.6095040111195
79525,17105.32821462135
79526,46432.021437878015
79528,90309.88610262536
79530,32721.261919664114
79533,33888.36531639228
79535,32613.010416239536
79537,27378.879721828747
79538,52905.17816323921
79540,37462.37410116275
79543,35386.521088260815
79545,24709.46911239557
79547,32678.165806287325
79549,79604.99858883141
79556,0.0
79560,26062.416518239592
79562,15952.399949526063
79565,46178.909233365695
79567,52324.797989077975
79602,17720.888440522398
79603,8369.758411991013
79607,8905.25022373255
79699,16560.255836987737
79703,5916.094297522576
79706,21176.899592802543
79713,38497.868726396846
79714,0.0
79720,0.0
79730,64787.06866459821
79733,23153.688398951945
79735,0.0
79739,64495.27333200953
79741,34355.7693730738
79743,60220.27756208881
79745,76863.13247604715
79749,44642.677754841534
79754,111431.65500604502
79755,64892.06564206602
79758,20070.935195598588
79761,0.0
79763,15115.200145540884
79765,10917.329162837521
79770,78257.4334491146
79772,128883.96852920808
79778,100593.04771805822
79781,113518.79378441106
76596,53101.17075640947
76597,50467.55112072475
76598,53785.84110718335
76599,53887.26715593374
76623,21388.055239145608
